country_code,country_name,is_aggregate,region,sub_region
ABW,Aruba,False,Latin America & Caribbean,Caribbean
AFG,Afghanistan,False,South Asia,South Asia
AGO,Angola,False,Sub-Saharan Africa,Middle Africa
ALB,Albania,False,Europe & Central Asia,Southern Europe
AND,Andorra,False,Europe & Central Asia,Southern Europe
ARE,United Arab Emirates,False,Middle East & North Africa,Western Asia
ARG,Argentina,False,Latin America & Caribbean,South America
ARM,Armenia,False,Europe & Central Asia,Western Asia
ASM,American Samoa,False,East Asia & Pacific,Polynesia
ATG,Antigua and Barbuda,False,Latin America & Caribbean,Caribbean
AUS,Australia,False,East Asia & Pacific,Australia and New Zealand
AUT,Austria,False,Europe & Central Asia,Western Europe
AZE,Azerbaijan,False,Europe & Central Asia,Western Asia
BDI,Burundi,False,Sub-Saharan Africa,Eastern Africa
BEL,Belgium,False,Europe & Central Asia,Western Europe
BEN,Benin,False,Sub-Saharan Africa,Western Africa
BFA,Burkina Faso,False,Sub-Saharan Africa,Western Africa
BGD,Bangladesh,False,South Asia,South Asia
BGR,Bulgaria,False,Europe & Central Asia,Eastern Europe
BHR,Bahrain,False,Middle East & North Africa,Western Asia
BHS,Bahamas,False,Latin America & Caribbean,Caribbean
BIH,Bosnia and Herzegovina,False,Europe & Central Asia,Southern Europe
BLR,Belarus,False,Europe & Central Asia,Eastern Europe
BLZ,Belize,False,Latin America & Caribbean,Central America
BMU,Bermuda,False,North America,Northern America
BOL,Bolivia,False,Latin America & Caribbean,South America
BRA,Brazil,False,Latin America & Caribbean,South America
BRB,Barbados,False,Latin America & Caribbean,Caribbean
BRN,Brunei Darussalam,False,East Asia & Pacific,South-Eastern Asia
BTN,Bhutan,False,South Asia,South Asia
BWA,Botswana,False,Sub-Saharan Africa,Southern Africa
CAF,Central African Republic,False,Sub-Saharan Africa,Middle Africa
CAN,Canada,False,North America,Northern America
CHE,Switzerland,False,Europe & Central Asia,Western Europe
CHL,Chile,False,Latin America & Caribbean,South America
CHN,China,False,East Asia & Pacific,Eastern Asia
CIV,Côte d'Ivoire,False,Sub-Saharan Africa,Western Africa
CMR,Cameroon,False,Sub-Saharan Africa,Middle Africa
COD,"""Congo, Dem. Rep.""",False,Sub-Saharan Africa,Middle Africa
COG,Congo,False,Sub-Saharan Africa,Middle Africa
COL,Colombia,False,Latin America & Caribbean,South America
COM,Comoros,False,Sub-Saharan Africa,Eastern Africa
CPV,Cabo Verde,False,Sub-Saharan Africa,Western Africa
CRI,Costa Rica,False,Latin America & Caribbean,Central America
CUB,Cuba,False,Latin America & Caribbean,Caribbean
CUW,Curaçao,False,Latin America & Caribbean,Caribbean
CYM,Cayman Islands,False,Latin America & Caribbean,Caribbean
CYP,Cyprus,False,Europe & Central Asia,Western Asia
CZE,Czechia,False,Europe & Central Asia,Eastern Europe
DEU,Germany,False,Europe & Central Asia,Western Europe
DJI,Djibouti,False,Middle East & North Africa,Eastern Africa
DMA,Dominica,False,Latin America & Caribbean,Caribbean
DNK,Denmark,False,Europe & Central Asia,Northern Europe
DOM,Dominican Republic,False,Latin America & Caribbean,Caribbean
DZA,Algeria,False,Middle East & North Africa,Northern Africa
ECU,Ecuador,False,Latin America & Caribbean,South America
EGY,Egypt,False,Middle East & North Africa,Northern Africa
ERI,Eritrea,False,Sub-Saharan Africa,Eastern Africa
ESP,Spain,False,Europe & Central Asia,Southern Europe
EST,Estonia,False,Europe & Central Asia,Northern Europe
ETH,Ethiopia,False,Sub-Saharan Africa,Eastern Africa
FIN,Finland,False,Europe & Central Asia,Northern Europe
FJI,Fiji,False,East Asia & Pacific,Melanesia
FRA,France,False,Europe & Central Asia,Western Europe
FRO,Faroe Islands,False,Europe & Central Asia,Northern Europe
FSM,"""Micronesia, Fed. Sts.""",False,East Asia & Pacific,Micronesia
GAB,Gabon,False,Sub-Saharan Africa,Middle Africa
GBR,United Kingdom,False,Europe & Central Asia,Northern Europe
GEO,Georgia,False,Europe & Central Asia,Western Asia
GHA,Ghana,False,Sub-Saharan Africa,Western Africa
GIB,Gibraltar,False,Europe & Central Asia,Southern Europe
GIN,Guinea,False,Sub-Saharan Africa,Western Africa
GMB,Gambia,False,Sub-Saharan Africa,Western Africa
GNB,Guinea-Bissau,False,Sub-Saharan Africa,Western Africa
GNQ,Equatorial Guinea,False,Sub-Saharan Africa,Middle Africa
GRC,Greece,False,Europe & Central Asia,Southern Europe
GRD,Grenada,False,Latin America & Caribbean,Caribbean
GRL,Greenland,False,North America,Northern America
GTM,Guatemala,False,Latin America & Caribbean,Central America
GUM,Guam,False,East Asia & Pacific,Micronesia
GUY,Guyana,False,Latin America & Caribbean,South America
HKG,"""Hong Kong SAR, China""",False,East Asia & Pacific,Eastern Asia
HND,Honduras,False,Latin America & Caribbean,Central America
HRV,Croatia,False,Europe & Central Asia,Southern Europe
HTI,Haiti,False,Latin America & Caribbean,Caribbean
HUN,Hungary,False,Europe & Central Asia,Eastern Europe
IDN,Indonesia,False,East Asia & Pacific,South-Eastern Asia
IMN,Isle of Man,False,Europe & Central Asia,Northern Europe
IND,India,False,South Asia,South Asia
IRL,Ireland,False,Europe & Central Asia,Northern Europe
IRN,Iran,False,Middle East & North Africa,Southern Asia
IRQ,Iraq,False,Middle East & North Africa,Western Asia
ISL,Iceland,False,Europe & Central Asia,Northern Europe
ISR,Israel,False,Middle East & North Africa,Western Asia
ITA,Italy,False,Europe & Central Asia,Southern Europe
JAM,Jamaica,False,Latin America & Caribbean,Caribbean
JOR,Jordan,False,Middle East & North Africa,Western Asia
JPN,Japan,False,East Asia & Pacific,Eastern Asia
KAZ,Kazakhstan,False,Europe & Central Asia,Western Asia
KEN,Kenya,False,Sub-Saharan Africa,Eastern Africa
KGZ,Kyrgyz Republic,False,Europe & Central Asia,Western Asia
KHM,Cambodia,False,East Asia & Pacific,South-Eastern Asia
KIR,Kiribati,False,East Asia & Pacific,Micronesia
